,keys,values
204,Starship Troopers,"['Josie and the Pussycats', 'Underground', 'State and Main', 'Life of Brian', 'L.A. Story', 'Be Cool', 'Coneheads', 'In & Out', 'Orgazmo', 'Starship Troopers', 'Being John Malkovich', 'Bowfinger', 'Kaze no tani no Naushika', 'Edtv', 'Bob Roberts', 'Duck Soup', ""America's Sweethearts""]"
205,The Truman Show,"['The Birds', 'The Truman Show', 'After Hours', 'The Thing', 'The Abyss', 'Dead Ringers', ""Rosemary's Baby"", 'The Conversation', 'The Matrix', 'Edtv', 'The Machinist', 'And Then There Were None', 'The Amityville Horror']"
206,The Apostle,"['Jesus Camp', 'Steel Magnolias', 'The Skeleton Key', 'The Apostle', 'Elmer Gantry']"
207,The Big Lebowski,"['Don Juan DeMarco', 'The Big Lebowski', 'Religulous', 'After Hours', 'Naked', 'El mariachi', 'Beverly Hills Cop', 'North by Northwest', 'The Man with One Red Shoe', 'Sleeper', 'While You Were Sleeping', 'Dorm Daze 2', 'Match Point', 'Ran', 'DragonHeart']"
208,Love and Death on Long Island,"['Pi', 'Grizzly Man', 'Love and Death on Long Island', 'Bedazzled', 'Capote', 'Total Eclipse', 'The Cable Guy', 'Housekeeping', 'Stranger Than Paradise', 'Boat Trip', 'Wicker Park', 'Possession', '37°2 le matin', 'Gods and Monsters', 'Death to Smoochy', 'Little Miss Sunshine', ""Billy's Hollywood Screen Kiss"", 'Biloxi Blues', 'Harry and the Hendersons', 'Wonder Boys', 'The End of the Affair', 'The Number 23', 'The Manchurian Candidate', 'Music Box', 'Envy', 'Primer', 'Trzy kolory: Bialy', 'American Beauty', 'Le grand bleu', 'The Celluloid Closet']"
209,The Spanish Prisoner,"['M', 'Vacancy', 'Double Indemnity', 'A Nightmare on Elm Street', 'Chain Reaction', 'Air Force One', 'Volver', 'The Frighteners', 'American Ninja', 'Chinjeolhan geumjassi', 'L.A. Confidential', 'Bad Boys', 'Mr. Brooks', 'A Shot in the Dark', 'In a Lonely Place', 'Kind Hearts and Coronets', 'Nueve reinas', 'Diva', 'The Big Sleep', 'No Way Out', 'Four Brothers', 'Swimming Pool', 'The Grifters', 'U.S. Marshals', 'À bout de souffle', 'Shooting Fish', 'Memento', 'And Then There Were None', 'The Sting', 'See No Evil, Hear No Evil', 'Strangers on a Train', 'Hot Fuzz', 'Snow Falling on Cedars', 'The Number 23', 'The Family Stone', 'Body Heat', 'The Color of Money', 'Kate & Leopold', 'Rope', 'What Lies Beneath', 'Charade', 'Road to Perdition', 'In the Heat of the Night', 'The Constant Gardener', 'Dead Again', '12 Angry Men', 'Identity', 'Copycat', 'The Life of David Gale', 'Dirty Rotten Scoundrels', 'Kagemusha', 'The Maltese Falcon', ""The General's Daughter"", 'Touch of Evil', 'Witness', 'The Spanish Prisoner', 'The Tragedy of Macbeth', 'The Mexican', 'Murder by Numbers', 'Death at a Funeral', 'The Amityville Horror']"
210,The Opposite of Sex,"['Something to Talk About', 'Pretty in Pink', 'Autumn in New York', 'Saved!', 'Bad ma ra khahad bord', 'Street Kings', 'Manhattan', 'The New Guy', 'The Meaning of Life', 'Ghost', 'Sixteen Candles', 'The Rocky Horror Picture Show', 'Beetle Juice', 'The Libertine', 'Wag the Dog', 'Dan in Real Life', 'Da hong deng long gao gao gua', 'Knafayim Shvurot', 'The Perfect Storm', 'Final Destination', 'In Bruges', 'Meet Joe Black', 'Ikiru', 'Jisatsu sâkuru', 'D.E.B.S.', 'Mermaids', 'Adventures in Babysitting', 'Ghost World', 'Buffy the Vampire Slayer', 'Lolita', 'The Next Karate Kid', 'Fucking Åmål', 'Det sjunde inseglet', 'The Tragedy of Macbeth', 'Grace Is Gone', 'Vanilla Sky', 'The Wedding Singer', ""All the President's Men"", 'The Opposite of Sex']"
211,Henry Fool,"['Freaky Friday', 'The Woodsman', 'The World Is Not Enough', 'Little Children', 'Henry Fool', ""St. Elmo's Fire"", 'The Sisterhood of the Traveling Pants', 'Annie', ""The Handmaid's Tale"", 'Chicago']"
212,Picnic at Hanging Rock,['Picnic at Hanging Rock']
213,Buffalo '66,"['Stir Crazy', 'Capote', ""Buffalo '66"", 'American History X', 'Chicago', 'Kind Hearts and Coronets', 'Blues Brothers 2000', 'Bridget Jones: The Edge of Reason', 'Walk the Line', 'The Shawshank Redemption', 'Return to Paradise', 'Mean Machine', 'Welcome to Collinwood', 'Cool Hand Luke', 'Chopper', 'Out of Sight', 'In the Name of the Father', 'Escape from Alcatraz', 'The Blues Brothers', 'He Got Game']"
214,Pi,"['Pi', 'Gwoemul', 'Batoru rowaiaru', 'Grizzly Man', 'Fantasia', 'Evil Dead II', 'Mulholland Dr.', 'Krull', 'Fire in the Sky', 'Love and Death on Long Island', 'Flash Gordon', 'Plan 9 from Outer Space', 'Fahrenheit 9/11', 'The Cable Guy', 'Colossus: The Forbin Project', 'The Brave Little Toaster', 'Timecop', 'Dip huet seung hung', 'The Neverending Story III', 'Wicker Park', 'Barbarella', 'The Rocky Horror Picture Show', 'Red Sonja', 'Happiness', 'The Addams Family', 'Possession', 'Forbidden Planet', 'Harry and the Hendersons', 'Ultraviolet', 'The Number 23', 'Chitty Chitty Bang Bang', 'Judge Dredd', 'The Manchurian Candidate', 'The Polar Express', 'The Evil Dead', 'Revenge of the Nerds II: Nerds in Paradise', 'Fast, Cheap & Out of Control', 'Titan A.E.', 'Dark Star', 'Watership Down', 'Trzy kolory: Bialy', 'A Beautiful Mind', 'American Beauty', 'Donnie Darko', 'Le grand bleu', 'Fargo']"
215,There's Something About Mary,"['Striptease', ""There's Something About Mary"", 'Beverly Hills Cop', 'Lucky Number Slevin', 'Shortbus', 'From Dusk Till Dawn', 'Happiness', 'The Life Aquatic with Steve Zissou', 'Step Brothers', 'Grindhouse', ""Bill & Ted's Bogus Journey"", 'The Sandlot', 'Babel', ""Bill & Ted's Excellent Adventure""]"
216,Mutiny on the Bounty,"['Striptease', 'Harry Potter and the Prisoner of Azkaban', 'The Witches', 'The Caine Mutiny', 'The Last of the Mohicans', 'Noel', 'The Grapes of Wrath', 'The Hunchback of Notre Dame', 'Little Women', 'House of Sand and Fog', 'Red Dragon', 'The Man Who Fell to Earth', 'Doctor Dolittle', 'Die Blechtrommel', 'Mutiny on the Bounty', 'Shaft', 'Forrest Gump', 'Catch-22', 'Murder on the Orient Express', 'The Bone Collector', 'Ondskan', 'Terms of Endearment', 'Waking the Dead', 'Treasure Island', ""Harry Potter and the Sorcerer's Stone"", 'The Great Train Robbery', 'Dracula', 'The Railway Children', 'Chitty Chitty Bang Bang', 'The Night Listener', 'Emma', 'Gone with the Wind', 'There Will Be Blood', 'Sense and Sensibility', 'Lolita', 'Cold Mountain', 'Midnight Cowboy', 'Payback', ""The Making of 'Along Came a Spider'"", 'Jumper', 'Family Plot', 'Fahrenheit 451', 'Leaving Las Vegas', 'Naked Lunch', 'To Kill a Mockingbird']"
217,Midnight Cowboy,"['The Grapes of Wrath', 'Big Daddy', 'The Out-of-Towners', 'Home Alone 2: Lost in New York', 'The Cable Guy', 'Requiem for a Dream', 'Save the Last Dance', 'Die Blechtrommel', 'Forrest Gump', 'One Fine Day', 'Fools Rush In', 'The Bone Collector', 'Cidade dos Homens', 'Stand by Me', 'Friends with Money', 'Fried Green Tomatoes', 'Knockaround Guys', 'The Family Stone', 'Beautiful Girls', 'Step Brothers', 'How to Lose a Guy in 10 Days', 'Gone with the Wind', 'Capturing the Friedmans', 'Hitch', 'Raging Bull', 'Payback', ""Coal Miner's Daughter"", 'Leaving Las Vegas', 'Splash', 'Striptease', 'The In-Laws', 'Regarding Henry', 'Todo sobre mi madre', 'Red Dragon', 'Alvin and the Chipmunks', 'Catch-22', 'Murder on the Orient Express', 'Dances with Wolves', 'Lord of War', 'Withnail & I', 'Dan in Real Life', 'Mad Hot Ballroom', 'Harry Potter and the Order of the Phoenix', 'Notting Hill', 'Dracula', 'The Railway Children', 'Chitty Chitty Bang Bang', 'Ghost Busters', 'Lionheart', 'American Dreams', 'Au revoir les enfants', 'Cold Mountain', 'McCabe & Mrs. Miller', 'Swing Kids', 'Midnight Cowboy', 'Family Plot', 'Sling Blade', 'Clerks.', 'Enchanted', 'To Kill a Mockingbird', 'The Witches', 'The Last of the Mohicans', 'Escape from New York', 'Moonstruck', 'Trois couleurs: Rouge', ""Who's That Girl"", 'The Hunchback of Notre Dame', 'Little Women', 'House of Sand and Fog', 'Annie', 'The Man Who Fell to Earth', 'Doctor Dolittle', ""Gentleman's Agreement"", 'Mutiny on the Bounty', 'Coming to America', 'Shaft', 'Ghost', 'Seppuku', 'Lost in Translation', 'Easy Rider', 'The Land Before Time', 'Waking the Dead', 'The Night Listener', 'Emma', 'End of Days', 'There Will Be Blood', 'Sense and Sensibility', 'The Wiz', 'Jumper', 'Murder by Numbers', 'The Bucket List', 'Desperately Seeking Susan', 'Fahrenheit 451', 'Gangs of New York', 'Harry Potter and the Prisoner of Azkaban', 'Autumn in New York', 'Noel', 'Ghostbusters II', 'Stranger Than Paradise', 'Sea of Love', 'The Fisher King', 'The Prince of Tides', 'The Iron Giant', 'American Gangster', 'Everyone Says I Love You', 'Hellboy II: The Golden Army', 'King Kong', 'Fast Food Fast Women', 'Terms of Endearment', 'Treasure Island', ""Harry Potter and the Sorcerer's Stone"", 'Serpico', 'Mighty Aphrodite', 'The Great Train Robbery', 'I Am Legend', 'Big', 'The Sisterhood of the Traveling Pants', 'Pretty Woman', 'The Warriors', 'The Weather Man', 'E.T.: The Extra-Terrestrial', 'Lolita', 'Mean Creek', 'Arsenic and Old Lace', 'Glory Road', ""The Making of 'Along Came a Spider'"", 'Hello, Dolly!', 'Akahige', 'A Home at the End of the World', 'To Wong Foo Thanks for Everything, Julie Newmar', 'Naked Lunch']"
218,The French Connection,"['Donnie Brasco', 'Behind Enemy Lines', 'The Accused', 'Ray', 'Requiem for a Dream', 'Bad Boys', 'Taking Lives', 'Quiz Show', 'The French Connection', 'White Oleander', 'Open Water', ""Charlie Wilson's War"", 'Pierrot le fou', 'Ondskan', 'Heat', 'Girl, Interrupted', ""'Breaker' Morant"", 'The Wild', 'Gorillas in the Mist: The Story of Dian Fossey', 'Wait Until Dark', 'Rush Hour 2', 'The Great Train Robbery', 'Antwone Fisher', '21', 'Chariots of Fire', 'Salinui chueok', 'Dreamer: Inspired by a True Story', 'United 93', 'Wall Street', 'Not Without My Daughter', 'Fitzcarraldo', 'Finding Neverland', 'Dumb & Dumber', 'In the Name of the Father', 'Lean on Me', 'Into the Wild', 'Eight Men Out', 'Candy', 'Alive', 'North Country']"
219,Chariots of Fire,"['Donnie Brasco', 'Behind Enemy Lines', 'The Accused', 'Ray', 'The Wind That Shakes the Barley', 'School Ties', 'Chicago', 'Memoirs of a Geisha', 'The French Connection', 'Quiz Show', 'Open Water', ""Charlie Wilson's War"", 'Ondskan', 'Da hong deng long gao gao gua', 'Girl, Interrupted', ""'Breaker' Morant"", 'Zelig', 'The Wild', 'Jean de Florette', 'Some Like It Hot', 'Gorillas in the Mist: The Story of Dian Fossey', 'Antwone Fisher', 'The Great Train Robbery', '21', 'Chariots of Fire', 'Dreamer: Inspired by a True Story', 'United 93', 'Wall Street', 'Not Without My Daughter', 'Fitzcarraldo', 'Finding Neverland', 'Dumb & Dumber', 'In the Name of the Father', ""The Cat's Meow"", 'Lean on Me', 'Matewan', 'Into the Wild', 'Eight Men Out', 'Alive', 'North Country']"
220,The Last Emperor,"['Bullets Over Broadway', 'Driving Miss Daisy', 'Far from Heaven', 'Dirty Dancing: Havana Nights', 'School Ties', 'Pleasantville', 'L.A. Confidential', 'The Iron Giant', 'Vertigo', 'The Godfather: Part II', 'Quiz Show', 'The Last Samurai', 'Cry-Baby', 'The Glenn Miller Story', 'Mitt liv som hund', 'Guilty by Suspicion', 'My Fair Lady', 'El espinazo del diablo', 'The AristoCats', 'Diner', 'The Purple Rose of Cairo', 'Stand by Me', 'The Thirteenth Floor', 'Indiana Jones and the Temple of Doom', '8 femmes', 'The Last Emperor', 'Bonnie and Clyde', 'Great Balls of Fire!', 'Gallipoli', 'The Untouchables', 'The Last Picture Show', 'The Green Mile', 'Hiroshima mon amour', 'Empire of the Sun', 'American Dreams', 'The Joy Luck Club', 'The Rocketeer', ""The Emperor's New Groove"", 'Wo hu cang long', 'Inventing the Abbotts', ""This Boy's Life"", 'West Side Story']"
221,Take the Money and Run,"['48 Hrs.', 'The In-Laws', 'The Usual Suspects', 'Mou gaan dou', 'What Happens in Vegas', 'Crna macka, beli macor', 'Invasion of the Body Snatchers', 'Point Break', 'Down by Law', 'Tsotsi', 'The Shawshank Redemption', 'The Dirty Dozen', 'Matchstick Men', 'Big Business', 'Meet the Fockers', 'O Brother, Where Art Thou?', 'The Great Escape', 'The Score', 'Naked Gun 33 1/3: The Final Insult', 'Hudson Hawk', 'Take the Money and Run', 'Four Rooms', 'The River Wild', 'The Crow: Salvation', 'Blue Streak', 'Dirty Harry', 'Mrs. Doubtfire']"
222,Repo Man,"['Fire in the Sky', 'Plan 9 from Outer Space', 'Cloverfield', 'Cocoon', 'The Man Who Fell to Earth', 'Village of the Damned', 'Alien Nation', 'Gojira ni-sen mireniamu', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Alien', 'Men in Black', 'Lost in Space', 'Jimmy Neutron: Boy Genius', 'Stardust Memories', 'Le charme discret de la bourgeoisie', 'Aliens', 'Species', 'Lilo & Stitch', 'Muppets from Space', 'The Fifth Element', 'Repo Man', 'Alien³', '*batteries not included', 'War of the Worlds', 'Howard the Duck', 'They Live', 'Star Trek: The Motion Picture', 'The Adventures of Buckaroo Banzai Across the 8th Dimension', 'E.T.: The Extra-Terrestrial', 'K-PAX', 'Titan A.E.', 'AVP: Alien vs. Predator', 'Galaxy Quest', 'The Trollenberg Terror', 'Dark Star', 'Close Encounters of the Third Kind', 'Chicken Little', 'Slither', 'The X Files', 'Starman', 'What Planet Are You From?']"
223,The Breakfast Club,"['Mean Girls', 'Grease', 'The Princess Diaries', 'Bring It On', 'Above the Rim', 'When a Stranger Calls', 'Clueless', 'Sixteen Candles', ""Mr. Holland's Opus"", ""She's All That"", 'Superbad', 'Lucas', 'Real Genius', 'Election', 'Footloose', 'Jisatsu sâkuru', ""Ferris Bueller's Day Off"", 'Fast Times at Ridgemont High', 'The Breakfast Club', 'The Brady Bunch Movie', 'Lean on Me', 'Tape', 'Napoleon Dynamite']"
224,Soylent Green,"['Batoru rowaiaru', 'Metropolis', 'Dave', 'Como agua para chocolate', 'Rollerball', 'The Forgotten', 'Escape from L.A.', 'I, Robot', 'Arlington Road', 'Yin shi nan nu', 'Chocolat', 'U.S. Marshals', 'Clear and Present Danger', 'Zoolander', 'Enemy of the State', ""The Handmaid's Tale"", 'Tampopo', 'Casshern', 'The Firm', 'Jean de Florette', 'Nineteen Eighty-Four', 'Hotaru no haka', 'Code 46', 'Over the Hedge', 'The Pelican Brief', 'Equilibrium', 'Soylent Green', 'Jisatsu sâkuru', 'The Constant Gardener', 'The Manchurian Candidate', 'A Clockwork Orange', 'Æon Flux', 'Duo luo tian shi', 'The Matrix', 'Brazil', 'Fahrenheit 451', 'Alive', 'Le pacte des loups', 'V for Vendetta']"
225,Metropolis,"['Batoru rowaiaru', 'Metropolis', 'Rollerball', 'The Hitch Hikers Guide to the Galaxy', 'Silent Running', 'Escape from L.A.', 'I, Robot', 'WALL·E', 'Lost in Space', ""The Handmaid's Tale"", 'Casshern', 'Forbidden Planet', 'Nineteen Eighty-Four', 'Code 46', 'Nosferatu, eine Symphonie des Grauens', 'Equilibrium', 'Soylent Green', 'Bicentennial Man', 'Short Circuit', 'A Clockwork Orange', 'RoboCop', 'Æon Flux', 'Robot Stories', 'Fast, Cheap & Out of Control', 'Transformers', 'The Matrix', 'Brazil', 'Fahrenheit 451', 'V for Vendetta']"
226,Dune,"['Mad Max', 'Tremors', 'Teenage Mutant Ninja Turtles', 'Mad Max 2', 'Jumanji', 'Lawrence of Arabia', 'Hidalgo', 'Camp', 'The Scorpion King', 'The Hills Have Eyes II', 'The Whole Ten Yards', 'Tank Girl', 'The Mother', 'Pitch Black', 'No Country for Old Men', 'The Adventures of Priscilla, Queen of the Desert', 'American Ninja 3: Blood Hunt', 'Revenge of the Nerds II: Nerds in Paradise', 'The Karate Kid', 'Dune', 'Le salaire de la peur', 'Back to the Future Part II', 'Superman II', 'Star Trek: The Wrath of Khan']"
227,Saving Private Ryan,"['Renaissance Man', 'Letters from Iwo Jima', 'To Be or Not to Be', 'The Young Lions', 'The Caine Mutiny', 'Mission to Mars', 'Rambo', 'Stalag 17', 'Black Hawk Down', 'Die Blechtrommel', 'The Glenn Miller Story', 'Enigma', 'La vita è bella', 'Catch-22', 'The Longest Day', 'Buffalo Soldiers', 'Operation Crossbow', 'Saints and Soldiers', 'Clear and Present Danger', 'A Midnight Clear', 'Pearl Harbor', 'Hope and Glory', 'Head in the Clouds', 'Where Eagles Dare', 'The Dirty Dozen', 'Aliens', 'Battle of Britain', 'Atonement', 'Windtalkers', 'The Great Escape', 'U-571', 'Destination Tokyo', 'Der Untergang', 'Empire of the Sun', 'Saving Private Ryan', 'Romancing the Stone', 'Stripes']"
228,Roger & Me,"['Roger & Me', 'Song of the South', 'Watership Down', 'Who Framed Roger Rabbit']"
229,Blue Velvet,"['Mystic Pizza', 'Squirm', 'Blue Velvet', 'The Iron Giant', 'The Good Girl', 'The Girl Next Door', 'Arachnophobia', 'Sling Blade', 'Village of the Damned', 'True Romance', 'Pink Floyd The Wall', 'Gremlins', 'Varsity Blues', ""It's a Wonderful Life"", 'Footloose', 'The 51st State', 'The One', 'Tell Your Children', 'Altered States', 'Waitress', 'In the Heat of the Night', 'High Plains Drifter', 'Silverado', 'The Stepford Wives', 'Fear and Loathing in Las Vegas', 'My Cousin Vinny', 'Mystery, Alaska', 'A Scanner Darkly', 'Fucking Åmål', 'Touch of Evil', ""What's Eating Gilbert Grape"", 'Slither', 'To Kill a Mockingbird']"
230,Splash,"['Meet Me in St. Louis', 'Big Daddy', 'The Out-of-Towners', 'Home Alone 2: Lost in New York', 'Save the Last Dance', 'Breaking the Waves', 'Bedknobs and Broomsticks', 'One Fine Day', 'Fools Rush In', 'Love Actually', 'The Bone Collector', 'The Libertine', 'The Butterfly Effect', 'What Dreams May Come', 'Marie Antoinette', 'How to Lose a Guy in 10 Days', 'Capturing the Friedmans', 'Raging Bull', 'Splash', 'Reality Bites', 'The Importance of Being Earnest', 'Prêt-à-Porter', 'The In-Laws', 'Regarding Henry', 'The Thing Called Love', 'The Notebook', 'Romeo + Juliet', 'Alvin and the Chipmunks', 'Private Parts', 'Sphere', 'Dan in Real Life', 'Abre los ojos', 'Mad Hot Ballroom', 'The Life Aquatic with Steve Zissou', 'Punch-Drunk Love', 'Ghost Busters', 'The Contender', 'American Dreams', 'Lionheart', 'The Rules of Attraction', 'Midnight Cowboy', ""Microcosmos: Le peuple de l'herbe"", 'Enchanted', 'Othello', 'Caddyshack', 'Mission to Mars', 'Escape from New York', 'Moonstruck', 'Idioterne', ""Who's That Girl"", 'Untamed Heart', 'Annie', ""Gentleman's Agreement"", 'Coming to America', 'Legend', 'Ghost', 'To Wong Foo Thanks for Everything, Julie Newmar', 'The Night Listener', 'Benny & Joon', 'Indecent Proposal', 'Dr T and the Women', 'La jetée', 'End of Days', 'The Wiz', 'August Rush', 'Keeping the Faith', 'Desperately Seeking Susan', 'Win a Date with Tad Hamilton!', 'Aliens of the Deep', 'Gangs of New York', 'Autumn in New York', 'Noel', 'Como agua para chocolate', 'Ghostbusters II', 'Stranger Than Paradise', 'Sea of Love', 'The Prince of Tides', 'Crank', 'American Gangster', 'Everyone Says I Love You', 'White Palace', 'The Fountain', '37°2 le matin', 'King Kong', 'Fast Food Fast Women', 'Serpico', 'Mighty Aphrodite', 'Meet Joe Black', 'I Am Legend', 'Big', 'Il postino', 'The Warriors', 'The Weather Man', 'Arsenic and Old Lace', 'Police Academy 2: Their First Assignment', 'Witness', 'Hello, Dolly!', 'A Home at the End of the World', 'Sien nui yau wan', 'Bottle Rocket', 'Practical Magic']"
231,TRON,"['Johnny Mnemonic', 'WarGames', 'TRON', 'The Net', 'Sneakers', ""Jumpin' Jack Flash"", '2001: A Space Odyssey', 'Revolution OS', 'The First $20 Million Is Always the Hardest', 'Colossus: The Forbin Project', 'Hackers', 'The Peacemaker', 'Live Free or Die Hard', 'Westworld', 'Office Space', 'Swordfish']"
232,L.A. Story,"['Underground', 'Videodrome', 'Mulholland Dr.', 'Eraserhead', 'Lost Highway', 'Starship Troopers', 'State and Main', 'Troy', 'Josie and the Pussycats', 'Sånger från andra våningen', 'Edward Scissorhands', 'Coneheads', 'Philadelphia', 'Sabrina', 'Bowfinger', 'Orgazmo', 'Last Man Standing', 'Stay', 'L.A. Story', 'Life of Brian', 'El ángel exterminador', 'Being John Malkovich', ""Le fabuleux destin d'Amélie Poulain"", 'Moskva slezam ne verit', 'Bob Roberts', ""America's Sweethearts"", 'Hiroshima mon amour', 'Hudson Hawk', 'Be Cool', 'Wanted', 'Edtv', 'Duck Soup', 'Donnie Darko', 'The Beach']"
233,The Jerk,"['City Slickers', 'The Illusionist', 'The Freshman', 'Son in Law', 'Road Trip', 'The Princess Diaries', 'Mississippi Burning', 'The Nanny Diaries', 'Blue Streak', 'The Jerk', 'Desperately Seeking Susan', 'Last Action Hero', 'Little Nicky', 'Waiting for Guffman', 'Mr. Deeds']"
234,Nineteen Eighty-Four,"['Batoru rowaiaru', 'Metropolis', 'Rollerball', 'I, Robot', 'Saw III', 'Sånger från andra våningen', 'Shallow Hal', 'The 40 Year Old Virgin', 'Casshern', 'EuroTrip', 'Code 46', ""White Men Can't Jump"", 'Marie Antoinette', 'We Were Soldiers', 'A History of Violence', 'Prozac Nation', 'Æon Flux', 'The Quiet', 'Hollow Man', 'Desperado', 'The Full Monty', 'Red Sonja', 'Closer', 'Striptease', 'Cat People', ""Carlito's Way"", 'Roxanne', 'Ôdishon', 'Dead Calm', 'Lucía y el sexo', 'Escape from L.A.', 'Romeo + Juliet', 'Stage Beauty', 'Invasion of the Body Snatchers', 'Sixteen Candles', 'Le professionnel', 'Das Experiment', 'The Dukes of Hazzard', 'Body Heat', 'Dracula', 'Van Wilder', 'Margot at the Wedding', '21 Grams', 'Ken Park', 'The Unbearable Lightness of Being', 'A Clockwork Orange', 'Fast Times at Ridgemont High', 'The Three Burials of Melquiades Estrada', 'Rumor Has It...', 'After Hours', 'Simon', 'The Tailor of Panama', 'About Schmidt', 'The Man Who Fell to Earth', 'Scary Movie 4', 'Eastern Promises', 'The People vs. Larry Flynt', 'THX 1138', 'Forgetting Sarah Marshall', 'Ace Ventura: Pet Detective', 'Beautiful People', 'Waking the Dead', 'Chasing Liberty', 'The Omen', 'Hackers', 'Se, jie', 'They Live', 'End of Days', 'The Lookout', 'The Matrix', 'Brazil', 'Saw IV', 'Knocked Up', 'Fahrenheit 451', 'V for Vendetta', 'American Pie', 'Hostel', ""Grandma's Boy"", 'Cypher', 'The Girl Next Door', '37°2 le matin', ""Before the Devil Knows You're Dead"", ""The Handmaid's Tale"", 'Believers', 'Species', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'Equilibrium', 'The Color of Money', 'The Heartbreak Kid', 'Soylent Green', 'Dorm Daze 2', 'The Cider House Rules', 'Lethal Weapon', 'Weird Science', 'Le retour de Martin Guerre', 'Witness', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', ""You Don't Mess with the Zohan""]"
235,The Dark Crystal,"['Love Potion No. 9', 'The Muppets Take Manhattan', 'The Dark Crystal', 'Team America: World Police', 'The New World']"
236,Sixteen Candles,"['Pretty in Pink', 'Saw III', 'Above the Rim', 'Sånger från andra våningen', 'Beetle Juice', 'The Libertine', 'The 40 Year Old Virgin', ""White Men Can't Jump"", 'A History of Violence', 'Jisatsu sâkuru', 'Prozac Nation', 'The Quiet', 'Tape', 'Desperado', 'The Full Monty', 'Red Sonja', 'The Opposite of Sex', 'Cat People', 'Striptease', 'Closer', ""Carlito's Way"", 'Roxanne', 'Saved!', 'Mean Girls', 'Grease', 'Dead Calm', 'The Princess Diaries', 'Romeo + Juliet', 'Stage Beauty', 'Clueless', 'Invasion of the Body Snatchers', 'Sixteen Candles', ""Mr. Holland's Opus"", 'Le professionnel', 'Real Genius', 'Dan in Real Life', 'Das Experiment', 'The Dukes of Hazzard', 'Body Heat', 'Dracula', 'Van Wilder', 'D.E.B.S.', '21 Grams', 'Ken Park', 'The Unbearable Lightness of Being', 'Fast Times at Ridgemont High', 'Ghost World', 'The Three Burials of Melquiades Estrada', 'The Next Karate Kid', 'Fucking Åmål', 'Lean on Me', 'Rumor Has It...', 'After Hours', 'The Tailor of Panama', 'Bring It On', 'About Schmidt', 'Manhattan', 'The Man Who Fell to Earth', 'When a Stranger Calls', 'Scary Movie 4', 'Eastern Promises', 'The People vs. Larry Flynt', ""She's All That"", 'Forgetting Sarah Marshall', 'Beautiful People', 'Waking the Dead', 'Chasing Liberty', 'The Omen', 'Se, jie', ""Ferris Bueller's Day Off"", 'End of Days', 'The Lookout', 'The Breakfast Club', 'Knocked Up', 'Saw IV', 'American Pie', 'Hostel', ""Grandma's Boy"", 'The New Guy', 'The Girl Next Door', 'Superbad', 'Lucas', 'Election', 'Da hong deng long gao gao gua', 'Believers', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'The Color of Money', 'The Heartbreak Kid', 'Dorm Daze 2', 'Adventures in Babysitting', 'Lethal Weapon', 'Mermaids', 'The Cider House Rules', 'Le retour de Martin Guerre', 'Buffy the Vampire Slayer', 'Lolita', 'The Brady Bunch Movie', 'Witness', ""You Don't Mess with the Zohan"", 'Napoleon Dynamite']"
237,The Gods Must Be Crazy,"['The Gods Must Be Crazy', 'Super Size Me']"
238,Beetle Juice,"['The Sixth Sense', 'Thir13en Ghosts', 'Pretty in Pink', 'Scrooged', 'Saved!', 'Ghostbusters II', 'The Frighteners', 'Manhattan', 'The New Guy', 'The Muppet Christmas Carol', 'Sixteen Candles', 'Beetle Juice', 'The Libertine', 'Mulan', 'Dan in Real Life', 'Da hong deng long gao gao gua', 'Ringu', 'The Others', 'Book of Shadows: Blair Witch 2', 'Ju-on', 'What Lies Beneath', 'Poltergeist', 'D.E.B.S.', 'Mermaids', 'Adventures in Babysitting', 'Urban Legend', 'Ghost World', 'Stir of Echoes', 'Buffy the Vampire Slayer', 'Lolita', 'Field of Dreams', 'The Next Karate Kid', 'Fucking Åmål', 'Casper', 'Ghost Ship', 'Sien nui yau wan', 'The Opposite of Sex']"
